traveldistance,traveltime
2731,1080
3034,1260
1814,840
393,240
805,240
626,240
232,120
1188,600
898,420
211,300
725,420
345,180
915,660
1981,900
435,120
1299,660
557,300
1094,480
1355,660
851,300
650,420
1422,660
948,420
385,120
2066,720
83,1260
1672,780
593,240
420,300
14,300
12,240
694,420
579,420
556,480
1604,720
1754,660
189,840
0,60
1014,300
458,300
514,300
705,360
1115,660
846,360
889,420
31,300
883,600
942,540
603,300
1233,6600
602,540
70,780
650,300
1985,1020
565,360
769,480
1289,480
568,240
1184,600
470,180
841,360
291,300
1015,360
900,360
1831,720
467,360
452,240
1466,540
1253,540
396,180
1378,540
1244,600
1723,840
986,660
539,1980
965,600
597,240
1152,660
1796,960
612,300
1108,420
869,480
597,180
1014,600
4,600
2,1440
9,420
7,180
0,1140
0,420
0,360
10,420
1270,960
422,240
1009,420
716,240
1019,300
920,600
356,300
1348,960
705,360
575,360
1808,1080
565,420
350,360
1874,960
316,240
488,180
1045,480
1041,420
1344,600
1527,720
1137,420
930,240
795,420
1228,720
1025,600
34,0
6229,2340
1004,1080
1056,360
632,300
1193,720
27,60
770,660
920,420
447,240
482,240
406,360
645,540
79,900
2336,1020
470,360
671,360
369,120
718,420
1439,1020
998,480
319,240
325,180
608,300
826,480
1567,660
1956,540
1065,2040
2061,960
963,720
540,180
557,780
261,180
1931,900
829,420
1009,420
1068,420
542,240
355,120
1597,600
529,300
456,120
663,240
2396,1260
968,4200
726,300
100,7260
678,300
1896,720
1957,720
563,180
433,240
235,60
859,480
490,180
3174,1140
839,540
585,360
2076,840
1665,540
851,480
6,420
8,360
715,540
3785,1320
551,240
11,480
3694,1440
2295,780
510,300
454,180
1011,480
967,540
869,480
1790,780
1578,780
1609,720
340,120
755,300
768,300
842,540
1264,600
52,1440
376,180
1881,840
1290,540
287,120
879,300
998,420
1520,540
13,300
1872,1260
1287,780
745,300
6,60
11,60
95,60
28,0
26,0
96,0
12,0
50,240
22,60
19,0
32,0
14,0
28,60
219,180
321,120
1124,600
731,360
8,60
661,360
2422,1200
616,420
